_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
5561,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,13,NO,"Carport , Surface Parking",YES,,PRIVATE,4281929,NO,YES,NO,7  BEXHILL CRT ,NO,PAID,02,DOUBLE PANE,1952.0,2017.0
5562,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,YES,Surface Parking,YES,EICHLER MANAGEMENT GROUP LTD.,PRIVATE,4225861,NO,NO,NO,2893  ST CLAIR AVE E,NO,FREE,19,SINGLE PANE,1960.0,2017.0
5563,NONE,Child play area,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,YES,NO,YES,YES,0.0,0.0,2.0,7,97,NO,"Underground Garage , Surface Parking , Parking Deck",YES,TMDL PROPERTY MANAGEMENT INC.,PRIVATE,4244923,NO,YES,NO,60  ESTHER LORRIE DR ,NO,FREE,01,DOUBLE PANE,1963.0,2017.0
5564,NONE,,NO,NO,0 indoor parking spots and 9 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,23,NO,,YES,WESTWOOD HOLDINGS INC.,PRIVATE,4288799,NO,YES,NO,2393  QUEEN ST E,NO,UNAVAILABLE,19,SINGLE PANE,1920.0,2017.0
5565,CENTRAL AIR,Indoor recreation room,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,11.0,6.0,2.0,11,126,NO,Surface Parking,YES,GREENWIN INC.,SOCIAL HOUSING,4333863,NO,NO,NO,2877 A  ELLESMERE RD ,YES,FREE,24,DOUBLE PANE,1976.0,2018.0
5566,CENTRAL AIR,,NO,NO,Not Available,YES,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,12.0,0.0,3,36,NO,Surface Parking,YES,SHELBORNE CAPITAL CORP,PRIVATE,4169173,NO,NO,NO,1685  EGLINTON AVE W,YES,UNAVAILABLE,12,DOUBLE PANE,1960.0,2017.0
5567,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,49,YES,Surface Parking,YES,AKELIUS CANADA LTD,PRIVATE,4169221,NO,YES,NO,2701  EGLINTON AVE W,YES,UNAVAILABLE,05,DOUBLE PANE,1953.0,2019.0
5568,CENTRAL AIR,"Indoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",NO,YES,18 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,NO,220.0,61.0,3.0,22,220,NO,"Underground Garage , Garage accessible thru buildg",YES,BENTALL KENNEDY,PRIVATE,4171378,NO,YES,NO,700  BAY ST ,YES,UNAVAILABLE,11,DOUBLE PANE,1973.0,2017.0
5569,NONE,"Indoor pool , Sauna",YES,YES,311 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,1.0,4.0,30,483,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4171428,NO,YES,NO,77  DAVISVILLE AVE ,YES,PAID,12,DOUBLE PANE,1970.0,2017.0
5570,NONE,"Indoor pool , Indoor recreation room , Indoor exercise room",YES,YES,27 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,5.0,99.0,4.0,27,491,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4171461,NO,YES,NO,88  ERSKINE AVE ,YES,PAID,15,DOUBLE PANE,1970.0,2017.0
5571,NONE,"Outdoor rec facilities , Child play area",YES,YES,5 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1.0,2.0,1.0,5,37,YES,"Underground Garage , Ground Level Garage , Surface Parking",YES,1013434 ONTARIO LIMITED,PRIVATE,4227299,NO,YES,NO,4100  BATHURST ST ,YES,FREE,06,DOUBLE PANE,1962.0,2017.0
5572,CENTRAL AIR,"Indoor recreation room , Child play area",YES,YES,5 indoor parking spots and 15 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,YES,2.0,2.0,3.0,8,72,NO,"Underground Garage , Garage accessible thru buildg",NO,WESTDALE PROPERTIES,PRIVATE,4167679,NO,YES,NO,220  REDPATH AVE ,YES,PAID,15,DOUBLE PANE,2008.0,2017.0
5573,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,2.0,2.0,5,72,NO,"Ground Level Garage , Surface Parking",YES,2585276 ONTARIO LIMITED,PRIVATE,4167686,NO,NO,NO,2356  EGLINTON AVE E,YES,FREE,21,DOUBLE PANE,1960.0,2017.0
5574,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,1.0,1.0,3.0,9,101,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT,PRIVATE,4152687,NO,YES,NO,2283  EGLINTON AVE E,YES,FREE,20,DOUBLE PANE,1964.0,2017.0
5575,NONE,,YES,YES,Not Available,NO,Unknown,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,26.0,0.0,1.0,5,26,NO,"Ground Level Garage , Surface Parking",YES,DE SEI INVESTMENTS LIMITED,PRIVATE,4152715,NO,NO,NO,2260  LAWRENCE AVE E,YES,UNAVAILABLE,21,DOUBLE PANE,1960.0,2017.0
5576,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,6,33,NO,"Ground Level Garage , Surface Parking",YES,JOHN ULRICH  MANAGEMENT,PRIVATE,4152716,NO,NO,NO,2250  LAWRENCE AVE E,YES,FREE,21,DOUBLE PANE,1968.0,2017.0
5577,NONE,"Indoor recreation room , Indoor exercise room",NO,NO,87 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,2.0,13,525,NO,"Underground Garage , Garage accessible thru buildg",YES,AKELIUS CANADA LTD,PRIVATE,4153140,NO,YES,NO,798  RICHMOND ST W,YES,UNAVAILABLE,10,DOUBLE PANE,1970.0,2017.0
5578,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,YES,5.0,1.0,2.0,7,149,YES,"Underground Garage , Garage accessible thru buildg",NO,,SOCIAL HOUSING,4153148,NO,NO,NO,1289  DUNDAS ST W,YES,UNAVAILABLE,09,DOUBLE PANE,1986.0,2017.0
5579,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,3.0,3.0,14,279,NO,"Underground Garage , Surface Parking",YES,RANEE MANAGEMENT,PRIVATE,4153593,NO,YES,NO,730  ONTARIO ST ,YES,BOTH,13,DOUBLE PANE,1967.0,2017.0
5580,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,3.0,3.0,14,279,NO,"Underground Garage , Ground Level Garage , Surface Parking",YES,RANEE MANAGEMENT,PRIVATE,4153594,NO,YES,NO,700  ONTARIO ST ,YES,BOTH,13,DOUBLE PANE,1967.0,2017.0
5581,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,10.0,0.0,3,38,NO,Surface Parking,YES,,PRIVATE,4153597,NO,NO,NO,214  WELLESLEY ST E,NO,FREE,13,DOUBLE PANE,1923.0,2017.0
5582,NONE,Outdoor pool,YES,NO,50 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,ELECTRIC,YES,NO,NO,YES,NO,0.0,1.0,5.0,22,568,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4153601,NO,YES,NO,650  PARLIAMENT ST ,YES,PAID,13,DOUBLE PANE,1969.0,2017.0
5583,INDIVIDUAL UNITS,"Outdoor rec facilities , Indoor exercise room",NO,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,0.0,4,48,NO,,YES,,PRIVATE,4153604,NO,YES,NO,569  BROADVIEW AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1929.0,2017.0
5584,NONE,"Indoor pool , Sauna",YES,YES,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2.0,1.0,3.0,24,200,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT,PRIVATE,4153610,NO,YES,NO,33  EASTMOUNT AVE ,YES,FREE,14,DOUBLE PANE,1965.0,2017.0
5585,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,4.0,2.0,2.0,5,131,YES,Surface Parking,YES,,TCHC,4153615,NO,NO,NO,80  DANFORTH AVE ,YES,PAID,14,DOUBLE PANE,1978.0,2017.0
5586,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,,10.0,0.0,4,21,NO,Surface Parking,YES,,PRIVATE,4153618,NO,YES,NO,852  BROADVIEW AVE ,YES,FREE,14,DOUBLE PANE,1960.0,2018.0
5587,NONE,Indoor recreation room,YES,YES,10 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,17,YES,,YES,,SOCIAL HOUSING,4153621,NO,NO,NO,137  SEARS ST ,YES,UNAVAILABLE,14,DOUBLE PANE,1995.0,2017.0
5588,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,129.0,1.0,2.0,22,129,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,GREENWIN INC.,PRIVATE,4154111,NO,YES,NO,25  COSBURN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1962.0,2017.0
5589,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,118.0,0.0,2.0,21,118,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,4154117,NO,NO,NO,60  GOWAN AVE ,YES,FREE,14,DOUBLE PANE,1970.0,2017.0
5590,NONE,,YES,NO,0 indoor parking spots and 4 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,6,81,NO,"Ground Level Garage , Carport , Surface Parking",YES,BRIKHAUS MANAGEMENT INC,PRIVATE,4154126,NO,YES,NO,85  GAMBLE AVE ,NO,UNAVAILABLE,14,DOUBLE PANE,1961.0,2017.0
5591,NONE,Child play area,YES,NO,0 indoor parking spots and 30 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,3.0,2.0,12,213,NO,"Underground Garage , Garage accessible thru buildg",YES,RANEE MANAGEMENT,PRIVATE,4154136,NO,YES,NO,20  GAMBLE AVE ,YES,BOTH,14,DOUBLE PANE,1964.0,2017.0
5592,INDIVIDUAL UNITS,,YES,YES,48 indoor parking spots and 6 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,2.0,18,110,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,WESTDALE PROPERTIES,PRIVATE,4154139,NO,NO,NO,1000  BROADVIEW AVE ,YES,PAID,14,DOUBLE PANE,1969.0,2017.0
5593,NONE,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,2.0,6,77,NO,Parking Deck,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4154146,NO,YES,NO,4  MILEPOST PL ,YES,UNAVAILABLE,15,DOUBLE PANE,1960.0,2017.0
5594,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,20,,,,,PRIVATE,4154636,,,,15  WILMINGTON AVE ,,,06,DOUBLE PANE,,
5595,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,NO,YES,NO,74.0,0.0,2.0,7,74,NO,"Underground Garage , Surface Parking",YES,COGIR MANAGEMENT CORPORATION,PRIVATE,4154647,NO,YES,NO,9  KINGSBRIDGE CRT ,YES,FREE,06,DOUBLE PANE,1963.0,2017.0
5596,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,22,NO,"Ground Level Garage , Carport , Surface Parking",YES,WJ PROPERTIES,PRIVATE,4154658,NO,YES,NO,3253  BATHURST ST ,YES,UNAVAILABLE,08,SINGLE PANE,1955.0,2017.0
5597,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,2.0,19,151,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,1597180 ONTARIO INC,PRIVATE,4155008,NO,YES,NO,161  OAKWOOD AVE ,YES,FREE,09,DOUBLE PANE,1968.0,2017.0
5598,CENTRAL AIR,Indoor recreation room,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,15.0,70.0,2.0,16,144,YES,"Underground Garage , Garage accessible thru buildg",YES,ST HILDAS TOWERS INC.,SOCIAL HOUSING,4155026,NO,NO,NO,2353  DUFFERIN ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1997.0,2017.0
5599,NONE,,YES,NO,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,6,54,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,OZ PROPERTY MANAGEMENT LTD,PRIVATE,4155033,NO,YES,NO,682  NORTHCLIFFE BLVD ,YES,FREE,12,DOUBLE PANE,1960.0,2017.0
5600,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,,4.0,0.0,4,11,YES,Surface Parking,NO,,PRIVATE,4155040,NO,NO,NO,1480  EGLINTON AVE W,NO,UNAVAILABLE,08,DOUBLE PANE,1958.0,2017.0
5601,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,YES,YES,YES,0.0,7.0,0.0,4,34,YES,Surface Parking,NO,HALLPINE INVESTMENTS INC.,PRIVATE,4155041,NO,NO,NO,1490  EGLINTON AVE W,NO,FREE,08,DOUBLE PANE,1955.0,2017.0
5602,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,YES,YES,YES,NO,0.0,0.0,2.0,7,110,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,MEDALLION CORPORATION,PRIVATE,4155044,NO,YES,YES,110  MARLEE AVE ,YES,FREE,08,DOUBLE PANE,1960.0,2017.0
5603,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,4.0,2.0,8,94,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4155564,NO,NO,NO,3479  ST CLAIR AVE E,YES,BOTH,20,SINGLE PANE,1970.0,2017.0
5604,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,2.0,3.0,11,192,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DEL MANAGEMENT,TCHC,4155566,NO,NO,NO,675  KENNEDY RD ,YES,BOTH,20,SINGLE PANE,1969.0,2017.0
5605,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,6.0,2.0,12,196,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155568,NO,NO,NO,7  GLAMORGAN AVE ,YES,BOTH,21,DOUBLE PANE,1971.0,2017.0
5606,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,6.0,2.0,12,184,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4155569,NO,NO,NO,6  GLAMORGAN AVE ,YES,BOTH,21,DOUBLE PANE,1971.0,2017.0
5607,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,4.0,1.0,7,92,YES,Surface Parking,YES,TCH,TCHC,4156480,NO,NO,NO,90  PARMA CRT ,YES,PAID,19,SINGLE PANE,1966.0,2017.0
5608,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,70.0,1.0,5,65,NO,"Ground Level Garage , Carport , Surface Parking",YES,2019772 ONT. INC,PRIVATE,4152734,NO,NO,NO,1175  ELLESMERE RD ,YES,FREE,21,THERMAL,1967.0,2017.0
5609,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,2.0,1.0,6,48,NO,Surface Parking,YES,MPM INC.,PRIVATE,4152739,NO,NO,NO,3210  LAWRENCE AVE E,YES,FREE,24,DOUBLE PANE,1960.0,2017.0
5610,NONE,Child play area,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,4.0,2.0,15,180,YES,"Underground Garage , Surface Parking",NO,AMAZ PROPERTY MANAGEMENT,PRIVATE,4152740,NO,NO,NO,555  BRIMORTON DR ,YES,FREE,24,DOUBLE PANE,1965.0,2017.0
5611,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,1.0,6,66,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4152762,NO,YES,NO,25  TRUDELLE ST ,YES,FREE,21,DOUBLE PANE,1963.0,2018.0
5612,NONE,,NO,NO,0 indoor parking spots and 16 outdoor parking spots,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,13,YES,,NO,,PRIVATE,4153152,NO,YES,NO,410  DOVERCOURT RD ,YES,UNAVAILABLE,09,DOUBLE PANE,1930.0,2017.0
5613,INDIVIDUAL UNITS,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,NO,YES,NO,5.0,1.0,2.0,13,112,NO,Surface Parking,YES,LOFT COMMUNITY SERVICES,SOCIAL HOUSING,4153156,NO,NO,NO,661  DUFFERIN ST ,YES,FREE,09,DOUBLE PANE,1967.0,2017.0
5614,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,11,,,,,PRIVATE,4153161,,,,1121  BLOOR ST W,,,09,DOUBLE PANE,1926.0,
5615,NONE,,NO,NO,0 indoor parking spots and 5 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,NO,NO,0.0,0.0,0.0,3,26,NO,,YES,DONROS DEVELOPMENTS LIMITED,PRIVATE,4153165,YES,YES,NO,1019  BLOOR ST W,NO,UNAVAILABLE,09,DOUBLE PANE,1928.0,2017.0
5616,NONE,,NO,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,16,NO,,NO,,PRIVATE,4153169,YES,YES,NO,723  BLOOR ST W,NO,UNAVAILABLE,11,DOUBLE PANE,1920.0,2017.0
5617,INDIVIDUAL UNITS,Indoor recreation room,YES,YES,0 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,NO,9.0,0.0,2.0,6,103,NO,Carport,YES,WIGWAMEN INCORPORATED,SOCIAL HOUSING,4153176,NO,NO,NO,14  SPADINA RD ,YES,FREE,11,DOUBLE PANE,1972.0,2017.0
5618,NONE,,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,9,63,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153185,NO,YES,NO,375  BRUNSWICK AVE ,YES,FREE,11,DOUBLE PANE,1960.0,2017.0
5619,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,3.0,2.0,2.0,5,77,NO,Surface Parking,YES,YWCA,SOCIAL HOUSING,4153628,NO,NO,NO,15  PAPE AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1988.0,2017.0
5620,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,2.0,18.0,2.0,5,45,NO,"Ground Level Garage , Surface Parking",YES,,SOCIAL HOUSING,4153645,NO,NO,NO,1320  GERRARD ST E,YES,UNAVAILABLE,14,DOUBLE PANE,1994.0,2017.0
5621,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,6.0,2.0,4,109,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4153658,NO,NO,NO,1275  DANFORTH AVE ,YES,PAID,14,DOUBLE PANE,1988.0,2017.0
5622,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,YES,YES,YES,YES,0.0,0.0,1.0,6,57,NO,Parking Deck,YES,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4154163,NO,YES,NO,52  THORNCLIFFE PARK DR ,YES,UNAVAILABLE,15,DOUBLE PANE,1960.0,2017.0
5623,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,1.0,6,60,NO,"Carport , Surface Parking",NO,,PRIVATE,4154171,NO,YES,NO,4  GRANDSTAND PL ,YES,FREE,15,DOUBLE PANE,1962.0,2017.0
5624,INDIVIDUAL UNITS,,YES,YES,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,10.0,2.0,0.0,3,105,NO,"Carport , Surface Parking",YES,,PRIVATE,4154184,NO,YES,NO,1477  BAYVIEW AVE ,NO,FREE,15,DOUBLE PANE,1941.0,2017.0
5625,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,6,44,NO,"Underground Garage , Carport , Surface Parking",YES,MANTLER MANAGEMENT LTD.,PRIVATE,4154672,NO,YES,NO,15  BIDEFORD AVE ,YES,FREE,08,DOUBLE PANE,1956.0,2017.0
5626,CENTRAL AIR,"Indoor recreation room , Child play area",NO,YES,10 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,1.0,14.0,2.0,8,111,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,SOCIAL HOUSING,4154674,NO,NO,NO,262  RIDLEY BLVD ,NO,FREE,08,DOUBLE PANE,1992.0,2017.0
5627,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,33,NO,"Ground Level Garage , Surface Parking",YES,G.L.G. DEVELOPMENTS LTD.,PRIVATE,4154677,NO,YES,NO,2125  AVENUE RD ,NO,FREE,08,DOUBLE PANE,1955.0,2017.0
5628,NONE,,YES,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,4,68,NO,"Ground Level Garage , Surface Parking",YES,COGIR REAL ESTATE,PRIVATE,4154684,NO,YES,NO,2177  AVENUE RD ,YES,FREE,08,DOUBLE PANE,1950.0,2017.0
5629,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,2.0,12,83,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154696,NO,YES,NO,535  SHEPPARD AVE W,YES,BOTH,06,DOUBLE PANE,1965.0,2017.0
5630,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,7,39,NO,Surface Parking,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,4155047,NO,NO,NO,837  ROSELAWN AVE ,YES,UNAVAILABLE,08,DOUBLE PANE,1959.0,2017.0
5631,NONE,Outdoor pool,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,3.0,18,231,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,KING'S COLLEGE MANAGEMENT LTD.,PRIVATE,4155053,NO,YES,NO,377  RIDELLE AVE ,YES,PAID,08,DOUBLE PANE,1967.0,2017.0
5632,NONE,,NO,NO,0 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,23,YES,Surface Parking,YES,,PRIVATE,4155070,NO,NO,NO,502  GILBERT AVE ,NO,FREE,09,DOUBLE PANE,1960.0,2017.0
5633,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,24,NO,Surface Parking,NO,GULMOUR PROPERTY MANAGEMENT,PRIVATE,4155074,NO,NO,NO,531  CALEDONIA RD ,NO,UNAVAILABLE,09,DOUBLE PANE,1968.0,2017.0
